_ID_;_MAIN_CATEGORY_;_NAME_;_MODEL_;_SKU_;_EAN_;_JAN_;_ISBN_;_MPN_;_UPC_;_MANUFACTURER_;_LOCATION_;_PRICE_;_QUANTITY_;_LENGTH_;_SEO_KEYWORD_;_DISCOUNT_;_SPECIAL_;_RELATED_ISBN_;_URL_
15609;Volkswagen|Passat;"Заглушка (решетка) в бампер Volkswagen, 2002 (30521371)";30521371;;;;;;;"Заглушка (решетка) в бампер";;10.0000;1;2002;zaglushka-reshetka-v-bamper-volkswagen-2002-30521371;;;;https://d4.by/index.php?route=product/product&path=11905_11906&product_id=15609
15610;Seat|Cordoba;"Заглушка (решетка) в бампер Seat, 1998 (30521381)";30521381;;;;;;;"Заглушка (решетка) в бампер";;10.0000;1;1998;zaglushka-reshetka-v-bamper-seat-1998-30521381;;;;https://d4.by/index.php?route=product/product&path=11897_12040&product_id=15610
15611;Volkswagen|Vento;"Заглушка (решетка) в бампер Volkswagen, 1998 (30521387)";30521387;;;;;;;"Заглушка (решетка) в бампер";;10.0000;1;1998;zaglushka-reshetka-v-bamper-volkswagen-1998-30521387;;;;https://d4.by/index.php?route=product/product&path=11905_12060&product_id=15611
15612;"BMW|3 E46";"Заглушка (решетка) в бампер BMW, 2002 (30521404)";30521404;;;;;;;"Заглушка (решетка) в бампер";;3.0000;1;2002;zaglushka-reshetka-v-bamper-bmw-2002-30521404;;;;https://d4.by/index.php?route=product/product&path=11875_12050&product_id=15612
15613;Audi|A4;"Юбка бампера нижняя Audi, 1998 (30521411)";30521411;;;;;;;"Юбка бампера нижняя";;40.0000;1;1998;yubka-bampera-nizhnyaya-audi-1998-30521411;;;;https://d4.by/index.php?route=product/product&path=11874_11896&product_id=15613
15614;Mazda|Premacy;"Накладка на бампер Mazda, 2000 (30521412)";30521412;;;;;;;"Накладка на бампер";;9.0000;1;2000;nakladka-na-bamper-mazda-2000-30521412;;;;https://d4.by/index.php?route=product/product&path=11913_12098&product_id=15614
15615;Fiat|Marea;"Бампер задний Fiat, 1999 (30521432)";30521432;;;;;;;"Бампер задний";;10.0000;1;1999;bamper-zadnij-fiat-1999-30521432;;;;https://d4.by/index.php?route=product/product&path=11939_12077&product_id=15615
15616;Audi|A6;"Заглушка (решетка) в бампер Audi, 1999 (30521524)";30521524;;;;;;;"Заглушка (решетка) в бампер";;5.0000;1;1999;zaglushka-reshetka-v-bamper-audi-1999-30521524;;;;https://d4.by/index.php?route=product/product&path=11874_12056&product_id=15616
15617;Audi|A6;"Заглушка (решетка) в бампер Audi, 1998 (30521527)";30521527;;;;;;;"Заглушка (решетка) в бампер";;5.0000;1;1998;zaglushka-reshetka-v-bamper-audi-1998-30521527;;;;https://d4.by/index.php?route=product/product&path=11874_12056&product_id=15617
15618;Audi|A6;"Заглушка (решетка) в бампер Audi, 1998 (30521530)";30521530;;;;;;;"Заглушка (решетка) в бампер";;5.0000;1;1998;zaglushka-reshetka-v-bamper-audi-1998-30521530;;;;https://d4.by/index.php?route=product/product&path=11874_12056&product_id=15618
15619;"Mercedes|C W202";"Заглушка (решетка) в бампер Mercedes, 1998 (30521539)";30521539;;;;;;;"Заглушка (решетка) в бампер";;4.0000;1;1998;zaglushka-reshetka-v-bamper-mercedes-1998-30521539;;;;https://d4.by/index.php?route=product/product&path=11894_12063&product_id=15619
